batchRecordId,name,grade,gradeBand,region,area,crag,sector,wall,number,page,rowKey,sourceImage,ocrStatus,confidence,canonicalExactMatch,canonicalGrade,gradeAlignment,sourceApproval,reconciliationStatus,verificationStatus,canonicalWrite,websiteMainDatasetWrite,publishReady,requiredAction
GBR-20260801-0001,NOSE,6+,UIAA 5–7,Peilstein,Peilstein,Thalhofgraben,Klapf,Klapf,254,241,Peilstein | Klapf | NOSE,image-6.jpg,Readable — manual transcription,85,No,,No exact Row Key,APPROVED_2026-08-01,TAXONOMY_HOLD,provisional,NO,NO,false,Confirm Peilstein/Thalhofgraben taxonomy against contents or title pages.
GBR-20260801-0002,SCHEISSWIND,6+,UIAA 5–7,Peilstein,Peilstein,Thalhofgraben,Klapf,Klapf,255,241,Peilstein | Klapf | SCHEISSWIND,image-6.jpg,Readable — manual transcription,85,No,,No exact Row Key,APPROVED_2026-08-01,TAXONOMY_HOLD,provisional,NO,NO,false,Confirm Peilstein/Thalhofgraben taxonomy against contents or title pages.
GBR-20260801-0003,PROST,6+/7-,UIAA 5–7,Peilstein,Peilstein,Thalhofgraben,Klapf,Klapf,256,241,Peilstein | Klapf | PROST,image-6.jpg,Readable — manual transcription,85,No,,No exact Row Key,APPROVED_2026-08-01,TAXONOMY_HOLD,provisional,NO,NO,false,Confirm Peilstein/Thalhofgraben taxonomy against contents or title pages.
GBR-20260801-0004,HEUSCHRECKE,5+,UIAA 5–7,Peilstein,Peilstein,Thalhofgraben,Klapf,Klapf,257,241,Peilstein | Klapf | HEUSCHRECKE,image-6.jpg,Readable — manual transcription,85,No,,No exact Row Key,APPROVED_2026-08-01,TAXONOMY_HOLD,provisional,NO,NO,false,Confirm Peilstein/Thalhofgraben taxonomy against contents or title pages.
GBR-20260801-0005,JAU BROSCH,4,UIAA 1–4,Peilstein,Peilstein,Thalhofgraben,Klapf,Klapf,258,241,Peilstein | Klapf | JAU BROSCH,image-6.jpg,Readable — manual transcription,85,No,,No exact Row Key,APPROVED_2026-08-01,TAXONOMY_HOLD,provisional,NO,NO,false,Confirm Peilstein/Thalhofgraben taxonomy against contents or title pages.
GBR-20260801-0006,KNÖTTE,3+,UIAA 1–4,Peilstein,Peilstein,Thalhofgraben,Klapf,Klapf,259,241,Peilstein | Klapf | KNÖTTE,image-6.jpg,Readable — manual transcription,85,No,,No exact Row Key,APPROVED_2026-08-01,TAXONOMY_HOLD,provisional,NO,NO,false,Confirm Peilstein/Thalhofgraben taxonomy against contents or title pages.
GBR-20260801-0007,BLINDSCHLEICHE,3?,UIAA 1–4,Peilstein,Peilstein,Thalhofgraben,Klapf,Klapf,260,241,Peilstein | Klapf | BLINDSCHLEICHE,image-6.jpg,Review required,70,No,,No exact Row Key,APPROVED_2026-08-01,OCR_HOLD,provisional,NO,NO,false,Confirm the printed name or grade from the full-resolution source.
GBR-20260801-0008,NORMALWEG,2,UIAA 1–4,Peilstein,Peilstein,Thalhofgraben,Klapf,Klapf,261,241,Peilstein | Klapf | NORMALWEG,image-6.jpg,Readable — manual transcription,85,No,,No exact Row Key,APPROVED_2026-08-01,TAXONOMY_HOLD,provisional,NO,NO,false,Confirm Peilstein/Thalhofgraben taxonomy against contents or title pages.
GBR-20260801-0009,BACHMÜCKE,4-,UIAA 1–4,Peilstein,Peilstein,Thalhofgraben,Klapf,Klapf,262,241,Peilstein | Klapf | BACHMÜCKE,image-6.jpg,Readable — manual transcription,85,No,,No exact Row Key,APPROVED_2026-08-01,TAXONOMY_HOLD,provisional,NO,NO,false,Confirm Peilstein/Thalhofgraben taxonomy against contents or title pages.
GBR-20260801-0010,BACHSTELZE,4+,UIAA 1–4,Peilstein,Peilstein,Thalhofgraben,Klapf,Klapf,263,241,Peilstein | Klapf | BACHSTELZE,image-6.jpg,Readable — manual transcription,85,No,,No exact Row Key,APPROVED_2026-08-01,TAXONOMY_HOLD,provisional,NO,NO,false,Confirm Peilstein/Thalhofgraben taxonomy against contents or title pages.
GBR-20260801-0011,A KUAH,6+/7-,UIAA 5–7,Peilstein,Peilstein,Thalhofgraben,Klapf,Klapf,264,241,Peilstein | Klapf | A KUAH,image-6.jpg,Readable — manual transcription,85,No,,No exact Row Key,APPROVED_2026-08-01,TAXONOMY_HOLD,provisional,NO,NO,false,Confirm Peilstein/Thalhofgraben taxonomy against contents or title pages.
GBR-20260801-0012,ERBSENSUPPE,7,UIAA 5–7,Peilstein,Peilstein,Thalhofgraben,Klapf,Klapf,265,241,Peilstein | Klapf | ERBSENSUPPE,image-6.jpg,Readable — manual transcription,85,No,,No exact Row Key,APPROVED_2026-08-01,TAXONOMY_HOLD,provisional,NO,NO,false,Confirm Peilstein/Thalhofgraben taxonomy against contents or title pages.
GBR-20260801-0013,FAULE ERBSEN,6+/7-,UIAA 5–7,Peilstein,Peilstein,Thalhofgraben,Klapf,Klapf,266,241,Peilstein | Klapf | FAULE ERBSEN,image-6.jpg,Readable — manual transcription,85,No,,No exact Row Key,APPROVED_2026-08-01,TAXONOMY_HOLD,provisional,NO,NO,false,Confirm Peilstein/Thalhofgraben taxonomy against contents or title pages.
GBR-20260801-0014,FAULENZER,6+,UIAA 5–7,Peilstein,Peilstein,Thalhofgraben,Klapf,Klapf,267,241,Peilstein | Klapf | FAULENZER,image-6.jpg,Readable — manual transcription,85,No,,No exact Row Key,APPROVED_2026-08-01,TAXONOMY_HOLD,provisional,NO,NO,false,Confirm Peilstein/Thalhofgraben taxonomy against contents or title pages.
GBR-20260801-0015,AUTOSTOPPER,6,UIAA 5–7,Peilstein,Peilstein,Thalhofgraben,Klapf,Klapf,268,241,Peilstein | Klapf | AUTOSTOPPER,image-6.jpg,Readable — manual transcription,85,No,,No exact Row Key,APPROVED_2026-08-01,TAXONOMY_HOLD,provisional,NO,NO,false,Confirm Peilstein/Thalhofgraben taxonomy against contents or title pages.
GBR-20260801-0016,BLECHSCHADEN,6,UIAA 5–7,Peilstein,Peilstein,Thalhofgraben,Klapf,Klapf,269,241,Peilstein | Klapf | BLECHSCHADEN,image-6.jpg,Readable — manual transcription,85,No,,No exact Row Key,APPROVED_2026-08-01,TAXONOMY_HOLD,provisional,NO,NO,false,Confirm Peilstein/Thalhofgraben taxonomy against contents or title pages.
GBR-20260801-0017,AUSLAGE,6,UIAA 5–7,Peilstein,Peilstein,Thalhofgraben,Klapf,Klapf,270,241,Peilstein | Klapf | AUSLAGE,image-6.jpg,Readable — manual transcription,85,No,,No exact Row Key,APPROVED_2026-08-01,TAXONOMY_HOLD,provisional,NO,NO,false,Confirm Peilstein/Thalhofgraben taxonomy against contents or title pages.
GBR-20260801-0018,DIE WILDE HETZ,6+,UIAA 5–7,Peilstein,Peilstein,Thalhofgraben,Klapf,Klapf,271,241,Peilstein | Klapf | DIE WILDE HETZ,image-6.jpg,Readable — manual transcription,85,No,,No exact Row Key,APPROVED_2026-08-01,TAXONOMY_HOLD,provisional,NO,NO,false,Confirm Peilstein/Thalhofgraben taxonomy against contents or title pages.
GBR-20260801-0019,CRASH,5+,UIAA 5–7,Peilstein,Peilstein,Thalhofgraben,Klapf,Klapf,272,241,Peilstein | Klapf | CRASH,image-6.jpg,Readable — manual transcription,85,No,,No exact Row Key,APPROVED_2026-08-01,TAXONOMY_HOLD,provisional,NO,NO,false,Confirm Peilstein/Thalhofgraben taxonomy against contents or title pages.
GBR-20260801-0020,ASFENAG,5+,UIAA 5–7,Peilstein,Peilstein,Thalhofgraben,Klapf,Klapf,273,241,Peilstein | Klapf | ASFENAG,image-6.jpg,Readable — manual transcription,85,No,,No exact Row Key,APPROVED_2026-08-01,TAXONOMY_HOLD,provisional,NO,NO,false,Confirm Peilstein/Thalhofgraben taxonomy against contents or title pages.
GBR-20260801-0021,HANSI BITTE SAFT,9-,UIAA 8+,Peilstein,Peilstein,Thalhofgraben,Hansi bitte Saft,Hansi bitte Saft,274,242,Peilstein | Hansi bitte Saft | HANSI BITTE SAFT,image-7.jpg,Readable — manual transcription,85,No,,No exact Row Key,APPROVED_2026-08-01,TAXONOMY_HOLD,provisional,NO,NO,false,Confirm Peilstein/Thalhofgraben taxonomy against contents or title pages.
GBR-20260801-0022,BORN TO BE BAD,8-,UIAA 8+,Peilstein,Peilstein,Thalhofgraben,Hansi bitte Saft,Hansi bitte Saft,275,242,Peilstein | Hansi bitte Saft | BORN TO BE BAD,image-7.jpg,Readable — manual transcription,85,No,,No exact Row Key,APPROVED_2026-08-01,TAXONOMY_HOLD,provisional,NO,NO,false,Confirm Peilstein/Thalhofgraben taxonomy against contents or title pages.
GBR-20260801-0023,SCHLEUDERGEFAHR,8+,UIAA 8+,Helenental,Helenental,Engelstein,Main,Engelstein,1,93,Helenental | Engelstein | SCHLEUDERGEFAHR,image-21.jpg,Readable — manual transcription,85,Yes,8-,Grade differs,APPROVED_2026-08-01,GRADE_CONFLICT_HOLD,provisional,NO,NO,false,Choose the guidebook or canonical grade; no automatic overwrite.
GBR-20260801-0024,DRUM DREAM,7+,UIAA 5–7,Helenental,Helenental,Engelstein,Main,Engelstein,2,93,Helenental | Engelstein | DRUM DREAM,image-21.jpg,Readable — manual transcription,85,Yes,7,Grade differs,APPROVED_2026-08-01,GRADE_CONFLICT_HOLD,provisional,NO,NO,false,Choose the guidebook or canonical grade; no automatic overwrite.
GBR-20260801-0025,ADDI EONS,8-,UIAA 8+,Helenental,Helenental,Engelstein,Main,Engelstein,3,93,Helenental | Engelstein | ADDI EONS,image-21.jpg,Readable — manual transcription,85,No,,No exact Row Key,APPROVED_2026-08-01,NEW_CANDIDATE_APPROVED_FOR_REPO_REVIEW,source-verified,NO,NO,false,"Review in PR, then authorize a separate canonical import."
GBR-20260801-0026,KATZENJAMMER,8-,UIAA 8+,Helenental,Helenental,Engelstein,Main,Engelstein,4,93,Helenental | Engelstein | KATZENJAMMER,image-21.jpg,Readable — manual transcription,85,Yes,8,Grade differs,APPROVED_2026-08-01,GRADE_CONFLICT_HOLD,provisional,NO,NO,false,Choose the guidebook or canonical grade; no automatic overwrite.
GBR-20260801-0027,SCHLUCHTWEG,8-,UIAA 8+,Helenental,Helenental,Engelstein,Main,Engelstein,5,93,Helenental | Engelstein | SCHLUCHTWEG,image-21.jpg,Readable — manual transcription,85,No,,No exact Row Key,APPROVED_2026-08-01,NEW_CANDIDATE_APPROVED_FOR_REPO_REVIEW,source-verified,NO,NO,false,"Review in PR, then authorize a separate canonical import."
GBR-20260801-0028,HEAVEN AND HELL,7+,UIAA 5–7,Helenental,Helenental,Engelstein,Main,Engelstein,6,93,Helenental | Engelstein | HEAVEN AND HELL,image-21.jpg,Readable — manual transcription,85,Yes,7+,Aligned,APPROVED_2026-08-01,EXISTING_ALIGNED_NO_CHANGE,source-verified,NO,NO,false,Keep canonical row unchanged; retain source evidence.
GBR-20260801-0029,WEG AUS DEM FISCH,8,UIAA 8+,Helenental,Helenental,Engelstein,Main,Engelstein,7,93,Helenental | Engelstein | WEG AUS DEM FISCH,image-21.jpg,Readable — manual transcription,85,Yes,8,Aligned,APPROVED_2026-08-01,EXISTING_ALIGNED_NO_CHANGE,source-verified,NO,NO,false,Keep canonical row unchanged; retain source evidence.
GBR-20260801-0030,HAPPY DAY,8-,UIAA 8+,Helenental,Helenental,Engelstein,Main,Engelstein,8,93,Helenental | Engelstein | HAPPY DAY,image-21.jpg,Readable — manual transcription,85,Yes,8-,Aligned,APPROVED_2026-08-01,EXISTING_ALIGNED_NO_CHANGE,source-verified,NO,NO,false,Keep canonical row unchanged; retain source evidence.
GBR-20260801-0031,YELLOW SUBMARINE,8-,UIAA 8+,Helenental,Helenental,Engelstein,Main,Engelstein,9,93,Helenental | Engelstein | YELLOW SUBMARINE,image-21.jpg,Readable — manual transcription,85,Yes,8-,Aligned,APPROVED_2026-08-01,EXISTING_ALIGNED_NO_CHANGE,source-verified,NO,NO,false,Keep canonical row unchanged; retain source evidence.
GBR-20260801-0032,TOLLWUT,7+,UIAA 5–7,Helenental,Helenental,Engelstein,Main,Engelstein,10,93,Helenental | Engelstein | TOLLWUT,image-21.jpg,Readable — manual transcription,85,Yes,7+,Aligned,APPROVED_2026-08-01,EXISTING_ALIGNED_NO_CHANGE,source-verified,NO,NO,false,Keep canonical row unchanged; retain source evidence.
GBR-20260801-0033,ONSIGHT ADEHHEID,8-,UIAA 8+,Helenental,Helenental,Engelstein,Main,Engelstein,11,93,Helenental | Engelstein | ONSIGHT ADEHHEID,image-21.jpg,Review required,70,No,,No exact Row Key,APPROVED_2026-08-01,OCR_HOLD,provisional,NO,NO,false,Confirm the printed name or grade from the full-resolution source.
GBR-20260801-0034,KABANOSSI,7+,UIAA 5–7,Helenental,Helenental,Engelstein,Main,Engelstein,12,93,Helenental | Engelstein | KABANOSSI,image-21.jpg,Readable — manual transcription,85,Yes,7+,Aligned,APPROVED_2026-08-01,EXISTING_ALIGNED_NO_CHANGE,source-verified,NO,NO,false,Keep canonical row unchanged; retain source evidence.
